Front	Back	Tags
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>图结构</h1><div class=""q"">图结构是一种网状结构，其中的每个<span class=""blank"">______</span>都可以与多个其他的数据元素相关。<span class=""blank"">______</span>可以被看作图的特例。树结构和图结构都是比<span class=""blank"">______</span>更复杂的结构，它们属于非线性结构</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>图结构</h1><div class=""a"">图结构是一种网状结构，其中的每个<span class=""hit"">数据元素</span>都可以与多个其他的<span class=""hit"">数据元素</span>相关。<span class=""hit"">树结构</span>可以被看作图的特例。<span class=""hit"">树结构</span>和图结构都是比<span class=""hit"">线性结构</span>更复杂的结构，它们属于非<span class=""hit"">线性结构</span></div><div class=""ansbox"">挖空答案：<b>数据元素、树结构、线性结构</b></div><div class=""pg"">教材页码：P34</div>"	绪论 识记 基本概念和术语 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>抽象数据类型</h1><div class=""q"">抽象数据类型的定义包括类型的名字及对各个操作的刻画，也就是要明确“<span class=""blank"">______</span>”。对于每个操作，要规定操作的名字、操作执行的前提条件、输入和输出分别是什么等。每个操作通常表示为一个函数或方法。 “<span class=""blank"">______</span>”是相对于程序设计语言中的“<span class=""blank"">______</span>”来说的</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>抽象数据类型</h1><div class=""a""><span class=""hit"">抽象数据类型</span>的定义包括类型的名字及对各个操作的刻画，也就是要明确“<span class=""hit"">做什么</span>”。对于每个操作，要规定操作的名字、操作执行的前提条件、输入和输出分别是什么等。每个操作通常表示为一个函数或方法。 “<span class=""hit"">抽象数据类型</span>”是相对于程序设计语言中的“<span class=""hit"">基本类型</span>”来说的</div><div class=""ansbox"">挖空答案：<b>做什么、抽象数据类型、基本类型</b></div><div class=""pg"">教材页码：P36</div>"	绪论 识记 基本概念和术语 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">基本概念和术语</span></div><h1>数据项之间的关系</h1><div class=""q"">在<span class=""blank"">______</span>中，数据的最小不可分割的单位是<span class=""blank"">______</span>；逻辑上相关的、具有物理意义的若干数据项构成一个<span class=""blank"">______</span>；数据元素作为一个完整的对象（整体）是构成数据的基本单位</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">基本概念和术语</span></div><h1>数据项之间的关系</h1><div class=""a"">在<span class=""hit"">数据结构</span>中，数据的最小不可分割的单位是<span class=""hit"">数据项</span>；逻辑上相关的、具有物理意义的若干<span class=""hit"">数据项</span>构成一个<span class=""hit"">数据元素</span>；<span class=""hit"">数据元素</span>作为一个完整的对象（整体）是构成数据的基本单位</div><div class=""ansbox"">挖空答案：<b>数据结构、数据项、数据元素</b></div><div class=""pg"">教材页码：P33</div>"	绪论 领会 基本概念和术语 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">基本概念和术语</span></div><h1>逻辑结构与存储结构之间的关系，存储结构对基本操作实现的影响</h1><div class=""q""><span class=""blank"">______</span>之间的相互关系构成结构，带有结构特性的数据元素集合构成<span class=""blank"">______</span>。具体来说，数据结构又分为逻辑结构和存储结构。逻辑结构主要是指数据元素之间的逻辑关系， 存储结构主要是指数据元素在计算机中的表示及存储方式。 数据的逻辑结构从逻辑上描述数据，表明数据元素之间的关系，与数据的存储方式无关，既独立于计算机，又独立于程序设计语言。 从逻辑角度来看，基本的数据结构包括4 类，分别是集合、<span class=""blank"">______</span>、树结构和图结构</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">基本概念和术语</span></div><h1>逻辑结构与存储结构之间的关系，存储结构对基本操作实现的影响</h1><div class=""a""><span class=""hit"">数据元素</span>之间的相互关系构成结构，带有结构特性的<span class=""hit"">数据元素</span>集合构成<span class=""hit"">数据结构</span>。具体来说，<span class=""hit"">数据结构</span>又分为逻辑结构和存储结构。逻辑结构主要是指<span class=""hit"">数据元素</span>之间的逻辑关系， 存储结构主要是指<span class=""hit"">数据元素</span>在计算机中的表示及存储方式。 数据的逻辑结构从逻辑上描述数据，表明<span class=""hit"">数据元素</span>之间的关系，与数据的存储方式无关，既独立于计算机，又独立于程序设计语言。 从逻辑角度来看，基本的<span class=""hit"">数据结构</span>包括4 类，分别是集合、<span class=""hit"">线性结构</span>、树结构和图结构</div><div class=""ansbox"">挖空答案：<b>数据元素、数据结构、线性结构</b></div><div class=""pg"">教材页码：P34</div>"	绪论 领会 基本概念和术语 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">基本概念和术语</span></div><h1>数据结构的4种基本存储方法</h1><div class=""q""><span class=""blank"">______</span>、<span class=""blank"">______</span>、<span class=""blank"">______</span>、散列存储方法；</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">基本概念和术语</span></div><h1>数据结构的4种基本存储方法</h1><div class=""a""><span class=""hit"">顺序存储方法</span>、<span class=""hit"">链式存储方法</span>、<span class=""hit"">索引存储方法</span>、散列存储方法；</div><div class=""ansbox"">挖空答案：<b>顺序存储方法、链式存储方法、索引存储方法</b></div><div class=""pg"">教材页码：P35</div>"	绪论 领会 基本概念和术语 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">基本概念和术语</span></div><h1>顺序存储方法</h1><div class=""q"">逻辑上相邻的<span class=""blank"">______</span>，存储到物理位置相邻的存储单元中，这样的存储方法称为顺序存储方法。在使用程序设计语言中的<span class=""blank"">______</span>保存<span class=""blank"">______</span>中的数据元素时，采用的就是顺序存储方法。相应的存储结构称为顺序存储结构</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">基本概念和术语</span></div><h1>顺序存储方法</h1><div class=""a"">逻辑上相邻的<span class=""hit"">数据元素</span>，存储到物理位置相邻的存储单元中，这样的存储方法称为顺序存储方法。在使用程序设计语言中的<span class=""hit"">一维数组</span>保存<span class=""hit"">线性结构</span>中的<span class=""hit"">数据元素</span>时，采用的就是顺序存储方法。相应的存储结构称为顺序存储结构</div><div class=""ansbox"">挖空答案：<b>数据元素、一维数组、线性结构</b></div><div class=""pg"">教材页码：P35</div>"	绪论 领会 基本概念和术语 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">基本概念和术语</span></div><h1>链式存储方法</h1><div class=""q"">逻辑上相邻的<span class=""blank"">______</span>，不要求其存储的物理<span class=""blank"">______</span>也相邻，通常借助于程序设计语言中的指针来指示数据元素间的逻辑关系。这样的<span class=""blank"">______</span>称为链式存储结构。</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">基本概念和术语</span></div><h1>链式存储方法</h1><div class=""a"">逻辑上相邻的<span class=""hit"">数据元素</span>，不要求其存储的物理<span class=""hit"">位置</span>也相邻，通常借助于程序设计语言中的指针来指示<span class=""hit"">数据元素</span>间的逻辑关系。这样的<span class=""hit"">存储结构</span>称为链式<span class=""hit"">存储结构</span>。</div><div class=""ansbox"">挖空答案：<b>数据元素、位置、存储结构</b></div><div class=""pg"">教材页码：P35</div>"	绪论 领会 基本概念和术语 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">基本概念和术语</span></div><h1>索引存储方法</h1><div class=""q"">除了保存<span class=""blank"">______</span>以外，索引存储方法还针对数据元素建立<span class=""blank"">______</span>。索引表由索引项组成，索引项指示数据元素所在的物理位置。通过索引项，可以加快<span class=""blank"">______</span>数据元素的速度。这种方法是索引存储方法</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">基本概念和术语</span></div><h1>索引存储方法</h1><div class=""a"">除了保存<span class=""hit"">数据元素</span>以外，索引存储方法还针对<span class=""hit"">数据元素</span>建立<span class=""hit"">索引表</span>。<span class=""hit"">索引表</span>由索引项组成，索引项指示<span class=""hit"">数据元素</span>所在的物理位置。通过索引项，可以加快<span class=""hit"">查找</span><span class=""hit"">数据元素</span>的速度。这种方法是索引存储方法</div><div class=""ansbox"">挖空答案：<b>数据元素、索引表、查找</b></div><div class=""pg"">教材页码：P35</div>"	绪论 领会 基本概念和术语 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">基本概念和术语</span></div><h1>散列(哈希)存储方法</h1><div class=""q"">散列存储方法是一种特殊方法，它根据<span class=""blank"">______</span>的关键字计算出该元素的物理存储位置。通常，使用称为<span class=""blank"">______</span>的<span class=""blank"">______</span>作为保存元素的结构。</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">基本概念和术语</span></div><h1>散列(哈希)存储方法</h1><div class=""a"">散列存储方法是一种特殊方法，它根据<span class=""hit"">数据元素</span>的关键字计算出该元素的物理存储位置。通常，使用称为<span class=""hit"">散列表</span>的<span class=""hit"">一维数组</span>作为保存元素的结构。</div><div class=""ansbox"">挖空答案：<b>数据元素、散列表、一维数组</b></div><div class=""pg"">教材页码：P35</div>"	绪论 领会 基本概念和术语 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">基本概念和术语</span></div><h1>线性结构与非线性结构的特性</h1><div class=""q""><span class=""blank"">______</span>是<span class=""blank"">______</span>之间存在着先后次序关系的结构，每个元素都对应着一个唯一的次序，这个次序决定着元素的<span class=""blank"">______</span>；</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">基本概念和术语</span></div><h1>线性结构与非线性结构的特性</h1><div class=""a""><span class=""hit"">线性结构</span>是<span class=""hit"">数据元素</span>之间存在着先后次序关系的结构，每个元素都对应着一个唯一的次序，这个次序决定着元素的<span class=""hit"">位置</span>；</div><div class=""ansbox"">挖空答案：<b>线性结构、数据元素、位置</b></div><div class=""pg"">教材页码：P34</div>"	绪论 领会 基本概念和术语 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">简单应用</span><span class=""chip c3"">基本概念和术语</span></div><h1>定义抽象数据类型</h1><div class=""q"">抽象定义三角形ADT sanjiao { <span class=""blank"">______</span>部分: a,b,c; 操作部分: mianji(a,b,c) 输入：a,b,c 输出：三角形面积前提条件：三条边满足构成三角形的条件 zhouchang（a,b,c）//给定三条边，计算三角形的周长输入：a,b,c 输出：三角形周长前提条件：三条边满足构成三角形的条件 }</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">简单应用</span><span class=""chip c3"">基本概念和术语</span></div><h1>定义抽象数据类型</h1><div class=""a"">抽象定义三角形ADT sanjiao { <span class=""hit"">数据</span>部分: a,b,c; 操作部分: mianji(a,b,c) 输入：a,b,c 输出：三角形面积前提条件：三条边满足构成三角形的条件 zhouchang（a,b,c）//给定三条边，计算三角形的周长输入：a,b,c 输出：三角形周长前提条件：三条边满足构成三角形的条件 }</div><div class=""ansbox"">挖空答案：<b>数据</b></div><div class=""pg"">教材页码：P36</div>"	绪论 简单应用 基本概念和术语 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">算法和算法分析</span></div><h1>算法及其5个特性</h1><div class=""q""><span class=""blank"">______</span>是一个由若干确定的(无二义性的)、可执行的步骤组成的肯定能够终止的有序步骤<span class=""blank"">______</span>。算法必须满足如下5 个重要特性。 ( 1 ) 输入：有 0 或多个输入值。 ( 2 ) 输出：有 1 或多个输出值。 ( 3 ) 有穷性：一个算法必须在执行有穷步骤之后结束。 ( 4 ) 确定性：算法的每一个步骤都必须有确切的含义。 ( 5 ) 可行性：算法中要做的运算都是相当基本的、能够精确进行的。 算法可以没有输入，但必须有输出，通常输出的是算法的执行结果。实现算法的程序的运行时间是有限的。算法的每个执行步骤不能有歧义，且必须是能够执行的。</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">算法和算法分析</span></div><h1>算法及其5个特性</h1><div class=""a""><span class=""hit"">算法</span>是一个由若干确定的(无二义性的)、可执行的步骤组成的肯定能够终止的有序步骤<span class=""hit"">集合</span>。<span class=""hit"">算法</span>必须满足如下5 个重要特性。 ( 1 ) 输入：有 0 或多个输入值。 ( 2 ) 输出：有 1 或多个输出值。 ( 3 ) 有穷性：一个<span class=""hit"">算法</span>必须在执行有穷步骤之后结束。 ( 4 ) 确定性：<span class=""hit"">算法</span>的每一个步骤都必须有确切的含义。 ( 5 ) 可行性：<span class=""hit"">算法</span>中要做的运算都是相当基本的、能够精确进行的。 <span class=""hit"">算法</span>可以没有输入，但必须有输出，通常输出的是<span class=""hit"">算法</span>的执行结果。实现<span class=""hit"">算法</span>的程序的运行时间是有限的。<span class=""hit"">算法</span>的每个执行步骤不能有歧义，且必须是能够执行的。</div><div class=""ansbox"">挖空答案：<b>算法、集合</b></div><div class=""pg"">教材页码：P37</div>"	绪论 识记 算法和算法分析 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">算法和算法分析</span></div><h1>问题规模</h1><div class=""q"">执行程序花费的时间与程序所处理的<span class=""blank"">______</span>个数有很大的关系，这个数据个数称为问题规模,也称为问题大小。<span class=""blank"">______</span>花费的时间表示为问题规模的一个函数</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">算法和算法分析</span></div><h1>问题规模</h1><div class=""a"">执行程序花费的时间与程序所处理的<span class=""hit"">数据</span>个数有很大的关系，这个<span class=""hit"">数据</span>个数称为问题规模,也称为问题大小。<span class=""hit"">算法</span>花费的时间表示为问题规模的一个函数</div><div class=""ansbox"">挖空答案：<b>数据、算法</b></div><div class=""pg"">教材页码：P38</div>"	绪论 识记 算法和算法分析 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">算法和算法分析</span></div><h1>时间复杂度</h1><div class=""q"">时间复杂度是将算法的时间效率表示为问题规模n的函数。通过统计算法执行的语句总数得到增长函数T(n)，再取其主项并用<span class=""blank"">______</span>表示<span class=""blank"">______</span>（即算法的阶）。只关心当n增大时函数的变化趋势，不考虑常数项和系数。常见阶有O(1)、O(logn)、O(n)、O(<span class=""blank"">______</span>)、O(n²)、O(2ⁿ)等。</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">算法和算法分析</span></div><h1>时间复杂度</h1><div class=""a"">时间复杂度是将算法的时间效率表示为问题规模n的函数。通过统计算法执行的语句总数得到增长函数T(n)，再取其主项并用<span class=""hit"">大O表示法</span>表示<span class=""hit"">渐近时间复杂度</span>（即算法的阶）。只关心当n增大时函数的变化趋势，不考虑常数项和系数。常见阶有O(1)、O(logn)、O(n)、O(<span class=""hit"">nlogn</span>)、O(n²)、O(2ⁿ)等。</div><div class=""ansbox"">挖空答案：<b>大O表示法、渐近时间复杂度、nlogn</b></div><div class=""pg"">教材页码：P40</div>"	绪论 领会 算法和算法分析 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">算法和算法分析</span></div><h1>空间复杂度</h1><div class=""q"">空间复杂度是指<span class=""blank"">______</span>在运行过程中临时占用的存储空间大小，一般也表示为<span class=""blank"">______</span>的函数。在考虑空间存储量时，算法代码占用的空间和算法中初始<span class=""blank"">______</span>占用的空间不包含在内。当算法需要的额外空间数量依赖于问题规模时，才考虑它的空间复杂度。</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">算法和算法分析</span></div><h1>空间复杂度</h1><div class=""a"">空间复杂度是指<span class=""hit"">算法</span>在运行过程中临时占用的存储空间大小，一般也表示为<span class=""hit"">问题规模</span>的函数。在考虑空间存储量时，<span class=""hit"">算法</span>代码占用的空间和<span class=""hit"">算法</span>中初始<span class=""hit"">数据</span>占用的空间不包含在内。当<span class=""hit"">算法</span>需要的额外空间数量依赖于<span class=""hit"">问题规模</span>时，才考虑它的空间复杂度。</div><div class=""ansbox"">挖空答案：<b>算法、问题规模、数据</b></div><div class=""pg"">教材页码：P42</div>"	绪论 领会 算法和算法分析 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">算法和算法分析</span></div><h1>大O表示法</h1><div class=""q"">大O表示法用于描述算法<span class=""blank"">______</span>的上界。称函数T(n)是O(f(n))的，如果存在常数c&gt;0和n0，当n&gt;n0时，有T(n)≤c×f(n)。大O表示法只关注增长函数表达式中的主项，不考虑主项的系数。例如T(n)=3n²+4n+5=O(n²)。</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">领会</span><span class=""chip c3"">算法和算法分析</span></div><h1>大O表示法</h1><div class=""a"">大O表示法用于描述算法<span class=""hit"">增长函数</span>的上界。称函数T(n)是O(f(n))的，如果存在常数c&gt;0和n0，当n&gt;n0时，有T(n)≤c×f(n)。大O表示法只关注<span class=""hit"">增长函数</span>表达式中的主项，不考虑主项的系数。例如T(n)=3n²+4n+5=O(n²)。</div><div class=""ansbox"">挖空答案：<b>增长函数</b></div><div class=""pg"">教材页码：P40</div>"	绪论 领会 算法和算法分析 13003数据结构与算法
